name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-03-30,53.8,37,46.5,53.8,28.2,42.8,22.4,39.7,0,0,0,,0,0,37.9,22.2,347.6,1026.4,13.5,9.9,220.7,18.9,8,10,2023-03-30T06:56:10,2023-03-30T19:29:43,0.29,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-03-31,65.8,41.5,53.8,65.8,36.7,51.5,40.9,62.5,0,0,0,,0,0,43.2,27.1,193.9,1021.9,70.3,9.9,83.7,7.4,4,10,2023-03-31T06:54:36,2023-03-31T19:30:41,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-01,75.8,49.9,64.5,75.8,42,64.2,53.4,70.3,0.255,100,54.17,rain,0,0,56.1,36.1,229.8,1002.8,86,9.7,130.5,11.3,7,30,2023-04-01T06:53:03,2023-04-01T19:31:39,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-02,56.8,46.9,51.1,56.8,38.3,47.7,28.7,42.6,0,0,0,,0,0,46.4,28.1,320.3,1015.3,40.3,9.9,230.5,19.8,8,10,2023-04-02T06:51:30,2023-04-02T19:32:37,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-03,70.9,41.2,55.9,70.9,39.5,55.4,40.1,56.9,0,0,0,,0,0,31.1,22.3,182.3,1018,58.5,9.9,208.3,18,8,10,2023-04-03T06:49:57,2023-04-03T19:33:35,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-04,79.1,55.7,66.8,79.1,55.7,66.8,51.8,59.6,0,0,0,,0,0,24.2,12.8,179.1,1015.5,24.5,9.9,220.4,19,8,10,2023-04-04T06:48:24,2023-04-04T19:34:32,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-05,85.8,60.7,72.5,85.3,60.7,72.6,60.2,67.9,0,0,0,,0,0,29.6,20.3,181.3,1017.7,78.4,9.9,182.3,15.9,8,10,2023-04-05T06:46:52,2023-04-05T19:35:30,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-06,84.9,62.8,74,85.3,62.8,74.1,60.1,63,0.032,100,8.33,rain,0,0,43.7,27.9,233.4,1019.9,85.5,9.7,138.7,11.9,6,10,2023-04-06T06:45:20,2023-04-06T19:36:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-07,61.9,50.9,54.9,61.9,50.9,54.9,32.3,42.9,0.011,100,4.17,rain,0,0,28.6,18.7,321,1028.7,92.1,9.9,39,3.4,1,10,2023-04-07T06:43:49,2023-04-07T19:37:26,0.55,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-08,52.8,45.7,49,52.8,39.3,46.2,26,41.6,0,0,0,,0,0,25.3,18.7,43.6,1031.6,88.7,9.9,145.5,12.6,7,10,2023-04-08T06:42:18,2023-04-08T19:38:23,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
